UserID,Sequence,JobTitle,JobCategoryID
21727,1,executive recruiter,190
21727,2,human resource assistant,187
21727,3,administrative assistant,20
21727,4,executive administrative assistant,20
21727,5,temporary positions,105
21727,6,senior computer operator lucent telephony administrator,110
24751,2,hostess,91
24751,3,hostess,91
26741,1,intern administrator of performance quality improvement,60
26741,2,safety compliance data entry,18
26741,3,mental health tech 2 medical assistant,63
26741,4,phlebotomist tech assistant,57
27754,1,universal banker,138
27754,2,customer service representative iii,1
27754,3,orthodontic assistant,2
27813,1,office manager computer consultant forms design and facsimile forms,81
27813,2,1 year as property accountant and ledger assistant,172
27813,3,registered radiologic technologist,39
29566,1,career management home based chicago,151
29566,2,cse professional site manager,143
29566,3,branch manager,0
29566,4,customer service rep,75
31058,1,claims representative,100
31058,2,customer care,52
31058,3,assistant manager,165
31058,4,assistant manager,165
32423,1,executive director,26
33994,1,investigations manager,0
33994,3,senior investigator,15
33994,4,investigator,0
33994,5,deputy sheriff,0
37690,1,office manager,24
37690,2,owner,70
37891,1,auto technician,178
37891,2,auto technician,178
37891,3,general auto mechanic,178
38435,1,gas station manager,0
38435,2,gas station cashier,25
40059,1,service manager,156
40059,2,service training manager,82
40059,3,general manager,35
40059,4,assistant general manager,35
40059,5,restaurant manager,0
40059,6,service manager,156
40059,7,owner general manager,70
40564,1,vocational case manager,149
40564,2,social work internship,159
40564,3,interim director s administrative assistant,20
40564,4,assistant boys volleyball coach,155
40564,5,superintendant s administrative assistant,20
40564,6,camp counselor,84
41791,1,technician optician,5
41791,2,technicion optician,0
41791,3,technician optician,5
41791,4,technician optician,5
41791,5,front desk optician,56
41791,6,optician,0
41791,7,optician,0
41791,8,optician,0
41791,9,optician,0
41791,10,sales assistant secretary,104
44505,1,general office,35
44505,2,customer service,1
44505,3,senior property manager,172
44505,4,property manager,172
44505,5,assistant property manager,172
44505,6,property administrator property manager,172
44918,1,security officer,38
44918,2,part time chef,32
44918,4,lunch room porter,107
48439,1,sr field engineer,96
48439,2,consultant,14
48505,1,customer service specialist,1
48505,2,trade show representative,16
48505,3,team lead and sales representative,73
48894,1,accountant retirement department coordinator,64
48894,2,analyst,9
48894,3,junior financial analyst,69
48894,4,sales representative,16
48894,5,economic analyst assistant,9
51680,1,systems analyst,83
51680,2,i t analyst,9
51680,3,technical support consultant,74
53013,1,associate attorney,11
53013,2,associate attorney,11
59192,1,security guard,38
59192,3,west staff and tandem,59
59192,4,housekeeping,0
63254,1,office manager advantage rmi,24
63254,2,traffic supervisor,6
63254,3,traffic coordinator,7
63254,4,administrative assistant,20
64557,1,teachers assistant,2
64557,2,teacher s assistant van assistant,40
64557,3,telecommunications specialist,3
64557,4,enrollment specialist,3
64557,5,lead teacher,40
64557,6,telephone banker,138
65890,1,plant manager tool maker,0
65890,2,tool die maker,93
65890,3,tool die maker die repair,161
65890,4,tool room foreman,161
65890,5,founder owner,70
67240,1,welder fabricator,160
67240,2,welder fabricator painter,160
67240,3,welder fabricator,160
67240,4,welder laborer,160
68294,1,superintendent,158
68294,2,superintendent,158
68294,3,on site project manager,27
68294,4,northern illinois windmill foundation foreman,161
68294,5,re bar foreman,161
68294,6,foreman,161
68294,7,gilberts illinois foreman,161
68294,8,ironworker,0
71131,1,teller,138
71131,2,site supervisor,6
71131,3,cis analyst,9
71131,4,loan officer,163
71131,5,underwriter,0
71131,7,foreclosure specialist,3
71131,8,loan officer,163
71360,1,laboratory technician iii,5
71360,2,laboratory assistant intern,36
71360,3,receiving team member,103
71360,4,lifeguard intern,36
71360,5,auto body repairman,178
72056,1,consultant application operation support,41
72056,2,specialist applications support,31
74454,1,travel agent,45
74454,2,customer service associate,1
75250,1,shift manager,120
75250,2,peer counselor,84
75632,1,delta tech detail,57
75632,2,cook,85
75632,5,maintenance,37
76623,1,smt manufacturing primary programmer smt,129
76623,2,smt lead operator primary smt machine,93
76623,3,smt lead operator smt line tech asst programmer,169
76623,4,smt line operator cleanroom plasmatron baseplater lead operator,169
76623,5,smt line operator,169
78945,1,telephone sales,4
78945,2,insurance agent,180
78945,3,customer service representative,1
78945,4,loan collector processor,163
79235,1,undergraduate research assistant,112
79235,2,waitress,199
79235,3,hostess waitress,199
79717,1,patient care advocate,135
79717,2,customer service representative,1
84604,1,graphic designer 3d conceptual renderer,86
84604,2,graphic designer 3d conceptual renderer,86
84604,3,graphic designer 3d conceptual renderer,86
84604,4,independent graphic designer founder chicagoland illinois,86
84617,2,customer service merchandiser,1
84617,3,financial service advisor,97
85000,1,assistant manager,165
85000,2,lead computer operator system administrator,110
85000,3,lead computer operator systems administrator,110
85000,4,lead computer operator,110
91966,2,customer service representative,1
91966,3,concessions summer camp lead inventory stock,113
91966,4,journal carrier,0
92020,1,office manager bookkeeper,24
92020,2,sales associate,154
92020,3,desk assistant,56
92299,1,service staff,59
92299,2,higher education account manager,131
92299,3,service staff,59
92299,4,service staff,59
95089,1,marketing and design independent consultant,81
95089,2,mini c sales digital imaging,4
95089,3,territory manager il,47
95536,1,customer service manager,1
95536,2,sales manager,90
95536,3,customer service analyst,1
95536,4,returns department supervisor,64
99661,1,bartender server,199
99661,2,general manager,35
99661,3,cash room supervisor,6
102003,1,marketing intern,36
102003,2,undergraduate research opportunities program,112
102003,3,advertising intern,36
102003,4,volunteer positions the abington of glenview northfield,115
102003,5,camp counselor,84
102003,6,architecture intern,36
102996,1,tour guide,0
102996,2,cashier,25
103627,1,fitness coach,155
103627,3,sales manager,90
103627,4,sales manager,90
103627,5,assistant manager,165
103627,6,general manager,35
104210,1,server,91
104210,2,camp counselor,84
104210,3,youth group leader,33
104210,4,teacher s aide,106
104210,5,server,91
104210,6,summer school teacher,167
104210,7,student teacher,67
104210,8,front end manager cashier bagger,25
106344,1,assistant store director,68
106344,2,assistant grocery manager,2
106344,3,night crew chief,150
107829,1,sales,4
110704,1,commodity manager,0
110704,2,director of supply chain,181
110704,3,sourcing manager,0
110704,4,strategic sourcing engineer,8
110704,5,program engineer,76
110704,6,project engineer,27
111372,1,vice president private client group,29
111372,2,options trader,0
111372,3,senior account executive,192
111372,4,premium sales group account executive,192
111372,6,account executive top 5,192
111372,7,account executive,192
111372,8,account executive top 10,192
111372,9,commercial credit insurance agent,183
111372,10,commercial lease account executive,192
112143,1,customer service,1
112143,2,customer service,1
112143,3,customer service,1
112143,4,customer service,1
112575,1,executive assistant to cfo and vice president of sales,29
112575,2,executive assistant to ceo and vice president,29
112575,3,executive assistant to controller,175
112963,1,hr manager internal accounts auditor,92
112963,2,estate planning paralegal,185
112963,3,office administrator,28
113510,1,staff on site,59
113510,3,record center specialist iron,55
113510,4,order puller,121
113849,1,warehouse receiving clerk temporary,65
115382,1,customer sevice manager,52
115382,2,corporate travel consultant,174
115382,3,corporate travel consultant,174
115382,4,associate temp,147
115382,5,patient intake representative,135
115382,6,corporate travel consultant,174
115382,7,corporate travel consultant,174
115398,1,manager,0
115398,2,bazell and allport clinics marketing director and accounts receivables manager,61
115398,3,national machine tool corporation account manager,192
115398,4,visiting scholar,0
115398,5,marketing manager receivables account manager,192
115818,1,share stuff volunteer,115
115818,2,part time flooring sales,32
115818,3,part time assistant flooring installer,186
116822,1,vice president support and ambulatory services,29
116822,2,president owner,70
116822,3,principal chicago office,119
116822,4,president,29
116822,5,principal,0
116822,6,ceo,0
117001,1,business analyst,21
117001,2,plant controller,175
117001,3,plant controller,175
117001,4,controller,175
117001,5,plant controller,175
117001,6,multi site division controller,175
117001,7,plant controller financial analyst,175
117001,8,accounting analyst,44
117001,9,accounting manager plant accountant,184
117001,10,staff accountant,59
120018,1,training manager,82
120018,2,training specialist,82
120018,3,account manager,192
120018,4,senior account executive,192
120895,1,office support,31
120895,2,administrative assistant,20
120895,3,word processor i,121
120895,4,administrative assistant clerical,177
120895,5,reservation agent,45
120895,6,office project assistant,24
120895,7,patient registrar administrative assistant,135
120895,8,case manager coordinator assistant,149
120895,9,data entry operator,18
120929,1,office manager,24
120929,2,account manager,192
120929,3,account executive,192
120929,4,account representative,192
120929,5,sales representative,16
120929,6,contemporary marketing representative,23
120929,7,field representative,96
120929,8,design marketing materials development fit and wear test pre costing costing and production,81
120929,9,management trainee,17
122419,1,security administrator,38
122419,2,security administrator,38
122419,3,security administrator,38
122419,4,security administrator,38
122419,5,security administrator,38
122419,6,security administrator,38
122419,7,applications support analyst,31
122419,8,computer operator,110
122419,9,security administrator,38
124796,1,paraprofessional facility manager,0
124796,2,cash applications specialist,3
124796,3,cash applications specialist,3
124796,4,billing clerk clerical assistant,177
124796,5,administrative billing student intern,126
124796,6,student intern,67
124914,1,senior level customer service technician cable splicer,1
124914,2,senior level logistics clerk,13
124914,3,information systems technician,134
126435,1,sales marketing and operations manager,34
126435,2,project manager,27
126435,3,regional manager,118
126435,4,project manager,27
126435,5,regional manager,118
126435,6,vice president sales and marketing,29
126435,7,automotive headquarters management positions,116
126506,1,program support specialist,76
126506,2,project coordinator administrative assistant,20
126506,3,assistant to the director of information systems,134
126506,4,help desk engineer,71
126506,5,help desk engineer administrative assistant,71
127535,1,leasing assistant office manager,24
127535,2,senior data processor,121
127535,3,data entry clerk,18
127535,4,data entry clerk,18
127535,5,administrative assistant,20
127535,6,office manager,24
127535,7,administrative assistant,20
128371,1,closing administrative manager sales,20
128371,2,mortgage loans processor real estate sales,121
128371,3,senior executive assistant,26
128371,4,senior executive assistant,26
128371,5,sr executive assistant,26
128371,6,accounting clerk,44
129590,1,home health and hospice reimbursement specialist,151
129590,2,patient account representative,135
130701,1,legal assistant,2
130701,2,legal secretary,104
130701,3,administrative assistant,20
130968,1,science teacher,98
130968,2,science teacher,98
130968,3,teacher,40
130968,4,human resources,49
130968,5,science teacher,98
131488,1,staff accountant,59
131488,2,senior accountant,184
131488,3,tax accountant,184
131488,4,finance manager,79
131720,1,controller,175
131720,2,consultant,14
131720,3,in charge accountant,184
131720,4,in charge accountant,184
131720,5,accounting manager controller,175
131720,6,staff accountant,59
131720,7,regional staff accountant,118
131733,1,business analysis it consultant,14
131733,2,team lead work flow manager,73
131733,3,systems analyst,83
131863,1,service manager,156
131863,2,general manager,35
132309,1,event representative,196
132309,2,sales representative,16
132309,3,photographer,0
132309,4,cashier host,25
132309,5,demographic associate,11
132309,6,overnight cashier,25
132309,7,manager,0
132309,8,night planogram team member,103
132309,9,cashier,25
132309,10,deli clerk,13
132861,1,sr business intelligence developer dba,50
132861,2,database administrator,28
132861,3,sql developer cognos developer,50
132861,4,sql developer cognos reportnet,50
132861,5,business coordinator,21
132861,6,sr net developer,50
132861,7,application developer,41
132861,8,web developer,166
134337,1,security officer,38
134337,2,cashier,25
134943,1,inbound sales consultant,14
134943,2,administrative assistant fiscal administrative assistant,20
134943,3,secretary iii,104
134943,4,customer service representative telemarketing,1
134943,5,central station operator,10
134943,6,administrative assistant general office,20
134943,8,bookkeeper,24
134943,9,psych social assistant general office assistant,141
135084,1,account manager,192
135084,2,product support specialist,102
135084,3,director of communications,124
135084,4,it director executive assistant to the owner,70
135084,5,speech and debate coach,155
135084,6,computer sales associate,154
135084,7,finalist for debate team usa,73
135084,8,sales associate,154
135084,9,primary national tournament for community colleges,97
135084,10,primary national tournament for community colleges,97
135456,1,it engineer,8
135679,1,billing and coding specialist,126
135679,2,interior design and sales,81
135679,3,billing and coding specialist,126
135987,1,customer service representative,1
135987,2,independent marketing contractor,132
135987,3,member staff,103
135987,4,administrative assistant,20
135987,5,administrative assistant department of children and family services,20
135987,6,computer lab assistant the woodlawn organization,137
135987,7,market researcher,112
135987,8,manager,0
136594,1,data entry key puncher clerk,18
136594,2,operation specialist,3
136594,3,data entry keypuncher clerk,18
136594,4,data entry keypuncher clerk,18
136594,5,data entry keypuncher clerk,18
136965,1,receptionist,54
136965,2,m a receptionist,54
136965,3,receptionist,54
136965,4,receptionist,54
136965,5,file clerk,13
137515,1,construction manager and administrator,114
137515,2,director of contracts and purchasing,145
137515,3,construction consultant,114
137515,4,custom and semi custom home builder,151
137515,5,custom and semi custom home builder,151
137515,6,construction manager,114
137515,7,director of contracts and purchasing,145
137515,8,contracts manager,0
137515,9,director of construction,114
138391,1,assistant manager,165
138391,2,temporary employee,105
138391,3,cubicle team member,103
138391,4,donation team member,103
138391,5,part time supervisor,32
138391,6,loader,136
138391,7,carry out bagger,0
138391,8,unloader,0
139987,1,web developer it support analyst,166
139987,2,freelance web and print developer social media strategist,141
140031,1,editor,166
140031,2,freelance writer editor,133
140031,3,substitute teacher,40
140031,4,public relations representative task level leader pastor event coordinator,127
140031,5,news editor and photographer,166
140031,6,news assistant producer,2
140031,7,camera operator news assistant producer news producer,10
140031,8,beat reporter,0
140031,9,beat reporter,0
140031,10,student youth reporter,67
140358,1,inside sales account manager,123
140358,2,store manager,68
140358,3,branch manager,0
140358,4,branch manager,0
140358,5,preferred account manager,192
140358,6,commercial route driver,22
140358,7,assistant department manager wallcovering floorcovering,64
140358,8,department manager,64
140358,9,full time associate,32
140358,10,part time associate,32
142419,1,accounting clerk ii,94
142419,2,remittance processor,121
142419,3,homemaker,0
142419,4,call center representative,55
142419,5,customer service representative,1
143504,1,bridal consultant,14
143504,2,cashier,25
143783,1,senior manager maintenance validation,37
143783,2,manager,0
143783,3,senior electrical project engineer,179
143783,4,senior electrician,188
143783,5,president owner of a small electrical contracting firm,179
144466,1,proprietor,0
144466,2,service rep,75
144466,3,sales service rep,75
144466,4,technical support specialist,74
144466,5,telephone banker ii,94
144466,6,customer service administrative assistant,20
144982,1,data entry clerk dispatcher,18
144982,2,office assistant,24
144982,3,data entry operator,18
144982,4,proof operator 2,10
145110,1,total quality manager,60
145110,2,quality assurance manager,60
145110,3,materials manager production control manager,152
145456,1,temp,147
145456,2,temp,147
145456,3,general manager coordinator executive administrative assistant,35
145456,4,various temp positions,147
145456,5,executive administrative assistant,20
145456,6,office administrator,28
146958,1,direct sales representative,16
146958,2,call center representative,55
146958,3,outside sales representative,189
147511,1,temporary,105
147511,2,clerk ii,94
147511,3,process clerk,13
147511,4,software clerk,13
148710,1,patient financial services collector,135
148710,2,outbound customer collections specialist,109
148710,3,check recovery specialist,3
149135,1,member relations director,103
150458,1,crew member,150
150458,2,sales associate,154
150458,3,customer service,1
150458,4,receptionist,54
150842,1,wellness life coach,155
150842,2,sr sales strategist,78
150842,3,personal trainer group fitness instructor,140
150842,4,market manager,0
150842,5,personal trainer group fitness instructor,140
150842,6,account manager,192
150842,7,account executive,192
150842,8,general manager,35
150842,9,sales manager,90
150842,10,personal banker,140
151512,1,tool diemaker cnc programmer set up operator,139
151512,3,metal stamping dies programming operator,10
151512,5,model maker,186
151512,6,mastercam advance cnc programmer,139
151512,7,operator mori seiki,10
151512,8,up programming machining operator,10
151512,9,tool and die maker moldmaker,93
151512,10,tool and die maker moldmaker,93
152324,1,web marketing manager,166
152324,2,brand manager consultant,14
152324,3,marketing communications manager,124
152324,4,marketing manager,23
152324,5,project manager,27
152324,6,analyst sales and marketing,23
152324,7,project manager sales and marketing communications,124
152324,8,sales support specialist,31
152889,1,warranty procurement support analyst,31
152889,2,sqep coordinator,7
152889,3,licensed lead nail technician spa director assistant,180
152889,4,production support analyst project manager assistant,27
152889,5,clerk for transmission business unit diversified precision gears production line,169
152889,6,administrative assistant learning coordinator,20
153314,1,server,91
153314,2,cleaner,0
153314,3,cashier,25
153314,4,warranty exchange,0
153314,5,warehouse,46
153314,6,porter,0
153314,7,customer service is number one,1
153314,8,am server,91
153314,9,shift manager,120
154188,1,contract administrator,153
154188,2,real estate tax specialist,3
154188,3,division senior analyst,9
154188,4,advocate department analyst,64
154188,5,condominium department analyst,64
154188,6,residential appeals analyst,9
154543,1,machine operator quality inspection,93
154543,2,production associate quality inspection,60
154543,3,aseptic filling operator sterile filling operator,10
154543,4,cellular manufacturing operator,129
155601,1,collector,163
155601,2,returned goods processor order services,121
155601,3,business objectives such,21
155601,4,claims examiner vertexter,100
155601,5,record clerk,13
155601,6,laboratory aide,106
156573,1,warehouse associate,46
156573,2,debt recovery specialist,3
156573,3,maintenance administrator,37
156573,4,consumer sales representative,16
156573,5,debt recovery specialist,3
157274,1,customer service representative,1
157274,2,customer service representative,1
157274,3,customer service representative team leader,33
157594,1,business manager,21
157594,2,assembly department foreman,171
157594,3,supervisor operator iii,10
157594,4,technical consultant,74
157594,5,r d lab technician,137
158183,1,part time engineer medinah country club,32
158183,2,engineer,8
158183,3,apprentice presidents plaza,0
159592,1,divisional vice president,29
159592,2,member of greater north michigan avenue,103
159592,3,member,103
159592,4,general manager,35
159592,5,member of the lombard chamber of commerce,103
159592,6,general manager,35
159725,1,marketing manager,23
159725,2,marketing manager,23
159725,3,inside sales representative,123
159725,4,acosta sales and marketing,23
161346,1,retail store manager,68
161346,2,registration assistant instructor,87
161346,3,receptionist owner assistant,70
161346,4,customer account executive,192
161346,5,general office broker assistant,35
161610,1,storeroom attendant,125
161610,2,warehouse specialist,46
161610,3,warehouse specialist,46
161610,4,warehouse specialist,46
161610,5,forklift operator,122
161610,6,aircraft fueler,0
161610,7,lot porter,0
161610,8,forklift operator bobcat operator laborer,122
161809,1,service advisor,97
161809,2,service advisor,97
161809,3,customer service rep,75
161809,4,sales associate assistant manager,165
161809,5,apprentice tech,57
162576,1,corporate sales analyst,174
162576,2,merchandising planning analyst virtual merchandiser consultant,185
162576,3,business information analyst ii,94
162576,4,business practice analyst consultant,14
162576,5,marking account manager consultant,192
162576,6,risk credit analyst,183
162683,1,marketing media manager,23
162683,2,executive assistant to ceo president sales marketing,26
162683,3,office manager,24
162683,4,executive assistant to vp of business development sales and marketing,58
162683,5,executive assistant to vp of business development and marketing,58
162683,6,office manager reception part time,24
162839,1,field technician,96
162839,2,education technical training,131
162839,3,a instructor at south shore high school of technology,167
162839,4,help desk tier 2,71
162839,5,computer consultant,110
162839,6,a instructor contract,87
164058,1,community service rep,75
164058,2,intake clerk,13
164058,3,administrative assistant,20
164058,4,insurance agent,180
164058,5,customer service rep receptionist j c penney,75
164058,6,receptionist,54
165885,1,cdl driver forklift operator warehouse,122
165885,2,cdl driver private contractor trainer customer service,132
165885,3,aircraft refueling agent airport operations customer service airport security clearance,45
165885,4,warehouse manager delivery driver customer service,46
165885,5,lawn technician sales route driver customer service,1
165885,6,lawn technician route driver customer service,1
165885,7,bus refueler maintenance bus washer,37
165885,8,tire and battery technician sales,5
165885,9,bottom bay technician oil lube tech,57
166210,1,foamline operator,10
166210,2,service technician,156
166210,3,machine operator,93
166210,4,laborer driver,160
166210,5,supply service tech,181
168758,1,public relations research associate,127
168758,2,corporate concierge,174
168758,3,receptionist,54
168758,4,administrative assistant office manager,24
168758,6,data entry and lockbox specialist,18
168758,7,underwriting assistant reception,2
168758,8,fragrance model sales representative,16
168758,9,training specialist human resource assistant,187
169236,1,office manager,24
169236,2,senior customer service manager,1
169236,3,assistant branch manager,2
169236,4,wire transfer tech,57
169887,1,administrative assistant coordinator,20
169887,2,cpas administrator recruiter,190
169887,3,receptionist administrative assistant,20
169887,4,claims customer service,100
169887,5,assistant cosmetician bookkeeper,2
170626,1,finance accounting assistant,79
170626,2,financial analyst,69
170626,3,accountant contract,153
170626,4,financial analyst staff accountant,69
171435,1,sales associate,154
171435,2,alo facilitator,0
171435,3,administrative aide,106
171435,4,enrichment teacher,40
171435,5,service leader,33
171435,6,sales associate,154
171659,1,service specialist,156
171659,2,account specialist,192
171659,3,services inside sales business it specialist,123
171659,4,personal banker,140
171659,5,telephone banker,138
171659,6,financial specialist teller manager,138
172319,1,csr cashier,25
172319,2,data entry typist,18
172319,3,full time braid technician,32
172319,4,volunteer,115
172500,1,office manager assistant consultant,24
172500,2,sr income tax preparer,78
172500,3,mortgage customer svc rep,75
172500,4,benefit payment specialist,3
173108,1,center guide,55
173108,2,appliance specialist supervisor,6
173108,3,leather specialist,3
173108,4,sales leasing consultant,14
173927,1,optical receptionist assistant,54
173927,2,assembly line worker,171
173927,3,waitress,199
173927,4,quality control associate,152
173927,5,guest servies,156
173927,6,rental sale representative,16
173927,7,waitress,199
173927,8,guest service,156
173927,9,graphic designer,86
173927,10,assistant,2
174918,1,accountant,184
174918,2,sr accountant,78
174918,3,accountant,184
174918,4,accountant,184
174918,5,general ledger accountant,184
174918,6,junior staff accountant,184
175219,2,marketing materials and customer guidebooks for chicago,119
175219,3,operations manager,34
175219,4,operations manager,34
175219,5,manager of midwest operations,34
175752,1,senior hardware engineering manager,170
175752,2,engineering manager,170
175752,3,chief engineer,8
175752,4,sr project engineer,78
175752,5,vice president,29
175752,7,chief engineer,8
175752,8,engineer,8
176198,1,general laborer,160
176198,2,service specialist,156
176198,3,courier,0
176198,4,project team member,103
176198,5,legal assistant,2
176198,6,distribution aide,195
176198,7,mailroom clerk,13
176198,8,mailroom supervisor,6
176664,1,sales agent,45
176664,2,custodial worker,51
176664,3,telemarketer,0
176664,4,shift supervisor,120
178952,1,business improvement manager,21
178952,2,product manager,102
178952,3,product marketing manager,102
178952,4,microsoft product marketing manager,102
178952,5,associate product manager merchandising,102
179461,1,director,12
179461,2,senior associate,11
179461,3,bartender,199
179734,1,train and coach production line employees,155
179734,2,filler operator,10
179734,3,sanitation worker,51
179759,1,senior national admissions advisor,97
179759,2,national admissions advisor,97
179759,3,realtor inside sales rep,123
179759,4,sales manager,90
179759,5,realtor telemarketing specialist,3
179759,6,call center manager,55
179759,7,call center manager,55
179759,8,unit supervisor,6
179759,9,senior supervisor,15
179759,10,call center manager,55
180411,1,steel estimator,114
180411,2,steel estimator,114
180411,3,steel detailer,0
180411,4,catering waiter,0
180411,5,laborer sales,160
180411,6,food service worker dishwasher,193
181181,1,city manager,0
181181,2,assistant principal,2
181181,3,sergeant,0
181181,4,sergeant corporal deputy sheriff,0
181181,5,adjunct professor law enforcement administration,80
181181,6,band director,12
181181,7,substitute teacher,40
181181,8,substitute teacher,40
182233,1,writer producer director,133
182233,2,model actress,0
182233,3,lead systems analyst,83
183063,1,customer account executive,192
183063,2,customer service representative,1
183063,3,digital support expert,31
183063,4,benefits analyst,176
183063,5,customer service representative,1
183086,1,maintenance mechanic,89
183086,2,maintenance supervisor,37
183086,3,heating ventilation and air conditioning mechanic,89
183086,4,service representative,16
183086,5,maintenance mechanic,89
183086,6,maintenance mechanic,89
184132,1,chief financial officer,62
184132,2,chief operating officer,62
184132,3,president,29
184132,4,vp finance and controller,175
184132,5,director business development,58
184132,6,sr vp treasurer and chief financial officer,62
184132,7,vp controller,175
184132,8,it management,17
184132,9,assistant vice president manager financial information services,29
184495,1,9th 12th day to day teacher,40
184495,2,k 8 day to day teacher,40
184495,4,recruiter,190
184495,5,chemistry teacher,40
184495,6,physics teacher,40
184495,7,biology teacher,40
184495,8,quality improvement manager,60
184495,9,receptionist,54
184495,10,biology teacher,40
185609,1,receptionist administrative assistant,20
185609,2,consultant,14
185609,3,tutor,0
185609,4,americorps flame facilitator,0
185609,5,waitress cashier hostess,25
185719,1,web developer,166
185719,2,webmaster,0
185719,3,software consultant,14
185719,4,web development,166
185719,5,web consultant,166
185719,6,monitoring capacity planning analyst,185
185719,7,web development,166
185719,8,senior software analyst development group,58
185719,9,software consultant,14
185719,10,software consultant,14
186559,1,area food services manager,182
186559,2,operations manager,34
186559,3,director restaurant operations,34
186559,4,franchise business partner,21
186559,5,food safety manager,193
187731,1,manager,0
188711,1,forklift operator,122
188711,3,cnc programmer operator,139
188711,4,machine operator line lead,93
188711,5,corporal,0
190270,1,scientist in bioanalytical group for a regulated pharmaceutical,33
190270,2,chemist in microbiology group,33
190270,3,organic chemist,36
190270,4,gc ms chemist,36
190270,5,analytical chemist,36
190270,6,chemist laboratory supervisor,6
190607,1,carpenter,132
190607,2,furniture repairman,0
190607,3,general contractor,132
190607,4,team lead sales,73
190607,5,production line supervisor,169
190626,1,administrative assistant,20
190626,2,recruiter secretary,190
190626,3,bill account collector,192
190626,4,financial aid advisor,97
190626,5,sales representative,16
190626,6,customer service representative cashier clerk,1
190751,1,license and title clerk,13
190751,3,license and title clerk cashier,25
190751,4,customer service cashier,25
190751,5,cashier phone operator,25
190834,1,desktop support technician,31
190834,2,hewlett packard computer support technician,110
190834,3,microsoft xbox support technician,31
190834,4,enrollment call center advisor,97
190834,5,r i arsenal call center computer support technician,110
190834,6,john deere call center computer support technician,110
190834,7,market research call center supervisor,112
190834,8,shift manager,120
191108,1,security officer,38
191108,2,security guard dispacher,38
191108,3,short cook,85
191108,4,bakery clerk,13
194244,1,maintenance remodaling apartments,37
194244,2,foreman,161
194244,3,painter,0
194244,4,welder,160
195445,2,recertification specialist,3
195445,3,administrative assistant,20
195445,4,recertification specialist,3
195445,6,administrative assistant,20
195551,1,general manager,35
195551,2,restaurant manager,0
195551,3,service manager,156
195551,4,driver,22
195551,5,bar manager,0
195551,6,assistant manager,165
195551,7,night auditor,92
196210,1,sr power engineer,78
196210,2,consultant,14
196210,3,it engineer,8
196210,4,tv station engineer,8
196210,5,r d,0
196416,1,a leader in corrugated boxes and displays,33
196416,2,customer service,1
196416,3,merchandise analyst,9
196416,4,customer service,1
196416,5,customer care coordinator,52
196416,6,senior administrative assistant,20
196416,7,administrative assistant,20
196472,1,dental receptionist,54
196472,2,teller,138
196472,3,sales associate,154
196472,4,provided,0
196742,1,collateral coordinator,7
196742,2,commercial loan documentation specialist,163
196742,3,escrow administrator,28
197184,1,business consultant,14
