UserID,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,MajorCategoryID,Degree
112091,Bolingbrook,IL,US,60440,Unknown,unknown,2000-01-01,0,11.0,No,Yes,3,-1.0,unknown
112143,Elgin,IL,US,60124,High School,not applicable,2000-01-01,4,24.0,No,No,0,0.0,high school
112575,Melrose Park,IL,US,60160,Unknown,paralegal studies,2011-01-01,3,7.0,Yes,No,0,117.0,unknown
112963,Chicago,IL,US,60652,PhD,organizational leadership,2012-04-01,3,13.0,Yes,No,0,76.0,phd
115382,Island Lake,IL,US,60042,High School,general studies,1981-06-01,7,19.0,Yes,Yes,10,117.0,high school
115398,Chicago,IL,US,60657,Unknown,unknown,2000-01-01,5,9.0,Yes,Yes,4,-1.0,unknown
115818,Rockford,IL,US,61107,Associate's,building construction technology,2012-03-01,3,15.0,Yes,No,0,114.0,associate s
116822,Oak Park,IL,US,60302,Master's,mba in healthcare,1971-06-01,6,30.0,Yes,No,0,189.0,master s
117001,Urbana,IL,US,61801,Master's,operations management and supervision,2002-01-01,10,15.0,Yes,Yes,8,34.0,master s
120018,Chicago,IL,US,60640,Bachelor's,psychology,2000-01-01,4,8.0,Yes,No,0,173.0,bachelor s
120895,Chicago,IL,US,60626,Unknown,unknown,2000-01-01,9,23.0,No,Yes,6,-1.0,unknown
120929,Chicago,IL,US,60640,Bachelor's,economics management,1989-06-01,9,22.0,Yes,Yes,5,17.0,bachelor s
122419,Orland Hills,IL,US,60487,Bachelor's,mathematics and computer science,1980-01-01,9,28.0,Yes,No,0,98.0,bachelor s
124796,Oswego,IL,US,60543,Bachelor's,political science,2003-05-01,6,12.0,Yes,No,0,98.0,bachelor s
126435,Naperville,IL,US,60565,Master's,cpa certification,1997-07-01,7,38.0,Yes,Yes,25,0.0,master s
126506,Berwyn,IL,US,60402,Bachelor's,unknown,2000-01-01,5,13.0,Yes,No,0,-1.0,bachelor s
127535,Chicago,IL,US,60617,Unknown,general studies,1995-06-01,7,11.0,No,No,0,117.0,unknown
128371,Chicago,IL,US,60646,Associate's,travel airlines computer science,2000-01-01,6,23.0,Yes,No,0,98.0,associate s
129590,Montgomery,IL,US,60538,Unknown,pursuing associate degree in business adminstration,2012-12-01,2,13.0,Yes,No,0,21.0,unknown
130701,Chicago,IL,US,60620,Associate's,business,2007-03-01,3,21.0,Yes,No,0,21.0,associate s
130968,Shorewood,IL,US,60404,Unknown,unknown,2000-01-01,5,26.0,No,Yes,200,-1.0,unknown
131488,Forest Park,IL,US,60130,Bachelor's,accounting,1983-05-01,4,13.0,Unknown,No,0,44.0,bachelor s
131733,Rockford,IL,US,61102,Unknown,electronics and avionics,2000-01-01,3,14.0,Yes,Yes,4,194.0,unknown
132309,Joliet,IL,US,60435,High School,social studies,2000-07-01,10,8.0,Yes,Yes,20,117.0,high school
132861,Streamwood,IL,US,60107,Associate's,computer engineering and business management,2000-01-01,8,14.0,Yes,No,0,110.0,associate s
134149,Chicago,IL,US,60639,Unknown,unknown,2000-01-01,0,11.0,Yes,No,0,-1.0,unknown
135084,Westmont,IL,US,60559,Bachelor's,history,2007-05-01,10,9.0,Yes,Yes,15,0.0,bachelor s
135456,Belleville,IL,US,62221,Bachelor's,computer science,1983-05-01,1,22.0,Unknown,No,0,98.0,bachelor s
135679,Coal City,IL,US,60416,Associate's,interior design,2007-05-01,3,18.0,Yes,No,0,81.0,associate s
136594,Chicago,IL,US,60620,Unknown,unknown,2000-01-01,5,23.0,No,No,0,-1.0,unknown
136965,Alsip,IL,US,60803,Unknown,medical billing and coding,2009-04-01,5,9.0,No,No,0,126.0,unknown
137515,Saint Charles,IL,US,60174,Associate's,math science,1984-05-01,9,21.0,No,Yes,6,98.0,associate s
138391,Oak Lawn,IL,US,60453,Bachelor's,management and quantitative methods,2004-05-01,8,14.0,Yes,Yes,40,17.0,bachelor s
139987,Chicago,IL,US,60620,Bachelor's,mathematics,2006-08-01,2,5.0,Yes,No,0,0.0,bachelor s
140358,Sherrard,IL,US,61281,Bachelor's,science business management,2010-10-01,10,21.0,Yes,Yes,55,98.0,bachelor s
142419,Plainfield,IL,US,60586,High School,not applicable,1992-06-01,5,14.0,Unknown,No,0,0.0,high school
143783,McCullom Lake,IL,US,60050,Bachelor's,electrical engineering,2000-01-01,5,31.0,Yes,No,0,179.0,bachelor s
144581,River Forest,IL,US,60305,Master's,public administration mpa,2010-04-01,0,11.0,Unknown,No,0,80.0,master s
144982,Chicago,IL,US,60628,Master's,psychology,2013-06-01,4,5.0,No,Yes,2,173.0,master s
145110,Elgin,IL,US,60123,Bachelor's,economics,1989-01-01,3,20.0,Yes,Yes,80,0.0,bachelor s
145456,Elmhurst,IL,US,60126,Unknown,art,2000-01-01,6,17.0,Yes,No,0,0.0,unknown
146958,Chicago,IL,US,60609,Bachelor's,visual communications,2003-09-01,3,7.0,Yes,Yes,3,124.0,bachelor s
147511,Aurora,IL,US,60506,Master's,unknown,2000-01-01,4,16.0,No,No,0,-1.0,master s
148710,Elk Grove Village,IL,US,60007,Bachelor's,business administration management,2004-12-01,3,5.0,Yes,No,0,80.0,bachelor s
150842,Round Lake,IL,US,60073,Bachelor's,practical internet marketing,2011-03-01,10,18.0,Yes,Yes,50,23.0,bachelor s
151512,Chicago,IL,US,60624,Unknown,unknown,2004-01-01,10,19.0,Yes,No,0,-1.0,unknown
152324,Plano,IL,US,60545,Bachelor's,elementary education,1991-06-01,8,12.0,Unknown,Yes,25,131.0,bachelor s
152889,East Peoria,IL,US,61611,Bachelor's,health administration health information systems,2009-02-01,6,9.0,Yes,No,0,63.0,bachelor s
153314,Dupo,IL,US,62239,Bachelor's,accounting and business management,2014-01-01,9,6.0,No,Yes,15,44.0,bachelor s
154188,Oak Lawn,IL,US,60453,Master's,accounting and financial management,2008-12-01,6,18.0,Unknown,No,0,69.0,master s
154543,Waukegan,IL,US,60085,High School,not applicable,2000-01-01,4,15.0,No,No,0,0.0,high school
156573,Aurora,IL,US,60506,High School,not applicable,1993-06-01,5,14.0,Yes,No,0,0.0,high school
157274,Carol Stream,IL,US,60188,High School,not applicable,2000-01-01,3,18.0,No,No,0,0.0,high school
157594,Rock Falls,IL,US,61071,Bachelor's,management of technology,2005-01-01,5,16.0,Yes,Yes,25,128.0,bachelor s
158183,Lombard,IL,US,60148,Unknown,unknown,2000-01-01,3,10.0,No,No,0,-1.0,unknown
159592,Woodridge,IL,US,60517,Bachelor's,unknown,1982-05-01,6,23.0,Unknown,No,0,-1.0,bachelor s
159725,Oswego,IL,US,60543,Bachelor's,marketing,2004-05-01,4,7.0,Yes,No,0,23.0,bachelor s
161346,Chicago,IL,US,60639,Unknown,fine arts,2000-01-01,5,8.0,Yes,No,0,111.0,unknown
161610,O Fallon,IL,US,62269,Unknown,computer technology computer systems technology,2000-01-01,8,15.0,No,No,0,110.0,unknown
161809,Streamwood,IL,US,60107,High School,unknown,2001-06-01,5,12.0,Unknown,No,0,-1.0,high school
162576,Chicago,IL,US,60640,Bachelor's,networks and communications management,2003-10-01,6,10.0,No,No,0,124.0,bachelor s
162683,Buffalo Grove,IL,US,60089,Associate's,marketing business,2014-01-01,6,10.0,No,Yes,50,21.0,associate s
164058,Chicago,IL,US,60629,Unknown,unknown,2000-01-01,6,18.0,Yes,Yes,5,-1.0,unknown
165885,Chicago,IL,US,60630,Vocational,mtc truck driver training,2008-10-01,9,13.0,No,Yes,20,136.0,vocational
166210,Westmont,IL,US,60559,High School,education general,2003-01-01,5,10.0,Yes,No,0,131.0,high school
167425,Freeburg,IL,US,62243,Unknown,unknown,2000-01-01,0,11.0,No,Yes,20,-1.0,unknown
169236,Chicago,IL,US,60659,Master's,human resources development,2012-05-01,4,10.0,Unknown,No,0,49.0,master s
169887,Chicago,IL,US,60634,Associate's,unknown,2008-01-01,5,12.0,No,No,0,-1.0,associate s
170626,Homewood,IL,US,60430,Bachelor's,accounting,2000-05-01,4,10.0,No,No,0,44.0,bachelor s
171435,Chicago,IL,US,60617,Bachelor's,english,2003-05-01,6,9.0,Yes,Yes,3,40.0,bachelor s
171659,Elk Grove Village,IL,US,60007,High School,not applicable,2000-01-01,6,12.0,No,Yes,4,0.0,high school
172500,Chicago,IL,US,60643,Bachelor's,business management,2011-12-01,4,15.0,Yes,Yes,4,21.0,bachelor s
173927,Schaumburg,IL,US,60194,Bachelor's,business administration and management general,2000-01-01,10,9.0,No,No,0,80.0,bachelor s
174918,Glen Carbon,IL,US,62034,Bachelor's,accounting,2008-12-01,6,10.0,No,Yes,6,44.0,bachelor s
175219,Alsip,IL,US,60803,Unknown,unknown,1973-01-01,5,38.0,No,No,0,-1.0,unknown
175752,Naperville,IL,US,60540,Master's,management,2000-01-01,8,37.0,Yes,No,0,17.0,master s
176529,Chicago,IL,US,60651,Unknown,unknown,2000-01-01,0,11.0,No,No,0,-1.0,unknown
176664,Chicago,IL,US,60617,High School,not applicable,1996-06-01,4,12.0,Yes,Yes,5,0.0,high school
178952,Lynwood,IL,US,60411,Master's,human resources management and services,2009-10-01,5,8.0,Yes,No,0,49.0,master s
179461,Chicago,IL,US,60654,Bachelor's,business management,2005-06-01,3,10.0,Unknown,No,0,21.0,bachelor s
179734,Chicago,IL,US,60636,Unknown,unknown,2000-01-01,3,33.0,Yes,No,0,-1.0,unknown
179759,Chicago,IL,US,60620,Bachelor's,marketing,2008-11-01,10,20.0,Yes,Yes,150,23.0,bachelor s
180411,Chicago,IL,US,60608,Unknown,unknown,2000-01-01,6,12.0,Yes,No,0,-1.0,unknown
181181,Skokie,IL,US,60077,Master's,educational administration and leadership,1999-12-01,8,36.0,No,Yes,30,80.0,master s
182022,Chicago,IL,US,60626,Unknown,unknown,2000-01-01,0,11.0,No,Yes,100,-1.0,unknown
182233,Glenwood,IL,US,60425,Bachelor's,operations management information,2004-05-01,4,8.0,Yes,No,0,134.0,bachelor s
183063,Chicago,IL,US,60639,Associate's,it networking,2000-01-01,5,8.0,No,Yes,11,0.0,associate s
183086,McHenry,IL,US,60050,Unknown,unknown,2000-01-01,6,27.0,Yes,No,0,-1.0,unknown
184132,Naperville,IL,US,60565,Master's,finance,1990-01-01,9,23.0,Yes,No,0,79.0,master s
184495,Oak Park,IL,US,60304,Master's,education,2005-11-01,10,7.0,Yes,No,0,131.0,master s
185609,Chicago,IL,US,60653,Unknown,unknown,2000-01-01,5,9.0,No,No,0,-1.0,unknown
185719,Frankfort,IL,US,60423,Bachelor's,computer science,1992-01-01,10,19.0,Yes,No,0,98.0,bachelor s
186559,Rockford,IL,US,61109,Associate's,business management,1985-01-01,5,5.0,Yes,Yes,65,21.0,associate s
186642,Chicago,IL,US,60647,Bachelor's,technical management,2001-08-01,0,11.0,No,Yes,25,74.0,bachelor s
187731,Des Plaines,IL,US,60016,Master's,unknown,2012-04-01,3,12.0,Yes,No,0,-1.0,master s
190270,Bolingbrook,IL,US,60490,Bachelor's,chemistry biochemistry,2000-01-01,6,24.0,Yes,No,0,0.0,bachelor s
190607,Chicago,IL,US,60618,Vocational,unknown,2011-09-01,5,5.0,Yes,Yes,4,-1.0,vocational
190751,Crest Hill,IL,US,60403,Bachelor's,finance,2000-01-01,5,12.0,Unknown,No,0,79.0,bachelor s
190834,Coal Valley,IL,US,61240,Bachelor's,business information systems,2012-05-01,8,8.0,No,Yes,50,134.0,bachelor s
191108,Chicago,IL,US,60624,High School,unknown,2002-06-01,4,4.0,No,No,0,-1.0,high school
191310,Chicago,IL,US,60617,Unknown,unknown,2000-01-01,0,11.0,No,No,0,-1.0,unknown
194244,Burbank,IL,US,60459,Vocational,general coarses,1986-01-01,4,11.0,No,No,0,35.0,vocational
195445,Chicago,IL,US,60629,Bachelor's,unknown,2004-06-01,6,3.0,No,Yes,6,-1.0,bachelor s
195551,Springfield,IL,US,62703,Bachelor's,theology,1996-01-01,7,15.0,Yes,Yes,40,0.0,bachelor s
196210,Chicago,IL,US,60638,Bachelor's,ee,2002-12-01,5,13.0,Yes,Yes,60,0.0,bachelor s
196416,Chicago Ridge,IL,US,60415,Bachelor's,business administration,1996-01-01,7,24.0,Yes,No,0,80.0,bachelor s
196472,Chicago,IL,US,60620,Unknown,elementary education,1970-01-01,4,13.0,Yes,No,0,131.0,unknown
196742,Chicago,IL,US,60628,Master's,healthcare management,2010-11-01,3,10.0,Yes,Yes,5,17.0,master s
197184,Carol Stream,IL,US,60188,Master's,accounting,2000-01-01,6,12.0,Yes,No,0,44.0,master s
198390,Roscoe,IL,US,61073,Master's,project management,2012-05-01,8,15.0,Yes,No,0,27.0,master s
199187,Chicago,IL,US,60619,Bachelor's,accounting,2011-06-01,2,9.0,Yes,No,0,44.0,bachelor s
199513,Roselle,IL,US,60172,Unknown,unknown,2000-01-01,5,25.0,No,No,0,-1.0,unknown
200268,Chicago,IL,US,60619,Bachelor's,computer studies,2002-01-01,4,11.0,No,Yes,12,117.0,bachelor s
200713,Moro,IL,US,62067,High School,unknown,1983-05-01,5,19.0,Unknown,No,0,-1.0,high school
200892,Bolingbrook,IL,US,60440,Bachelor's,animation,2000-06-01,3,11.0,No,No,0,0.0,bachelor s
201820,Oak Lawn,IL,US,60453,Bachelor's,management,2001-01-01,3,8.0,Yes,No,0,17.0,bachelor s
203806,Chicago,IL,US,60618,PhD,unknown,2011-05-01,3,8.0,Yes,No,0,-1.0,phd
203872,Oak Lawn,IL,US,60453,High School,not applicable,1988-01-01,10,22.0,Yes,Yes,15,0.0,high school
204545,Schaumburg,IL,US,60193,High School,not applicable,2000-01-01,6,17.0,Yes,No,0,0.0,high school
206239,Hoffman Estates,IL,US,60192,Unknown,unknown,2000-01-01,2,4.0,No,No,0,-1.0,unknown
207666,Chicago,IL,US,60640,Bachelor's,public health,2011-05-01,7,4.0,Yes,No,0,63.0,bachelor s
208151,Elmhurst,IL,US,60126,High School,high school,2010-02-01,3,2.0,No,No,0,167.0,high school
208647,Wilmington,IL,US,60481,High School,not applicable,2002-05-01,5,10.0,No,No,0,0.0,high school
209286,Chicago,IL,US,60644,Associate's,basic and advance automotive technician,1998-06-01,4,15.0,Yes,Yes,6,116.0,associate s
209553,Lemont,IL,US,60439,Bachelor's,chemical engineering,2011-05-01,3,5.0,Unknown,No,0,170.0,bachelor s
210903,Godfrey,IL,US,62035,Associate's,business,2011-12-01,1,16.0,No,Yes,2,21.0,associate s
211995,Lombard,IL,US,60148,Bachelor's,communication,1990-06-01,6,21.0,Unknown,No,0,194.0,bachelor s
212550,Plainfield,IL,US,60544,High School,education general,1999-06-01,4,5.0,No,Yes,35,131.0,high school
213513,Chicago,IL,US,60615,Unknown,unknown,2000-01-01,4,12.0,Yes,No,0,-1.0,unknown
213633,Oak Park,IL,US,60302,Unknown,unknown,2011-08-01,4,9.0,No,No,0,-1.0,unknown
213757,Chicago,IL,US,60620,High School,unknown,2011-08-01,4,8.0,No,No,0,-1.0,high school
214721,Lyons,IL,US,60534,Bachelor's,computer science,2000-01-01,5,13.0,No,Yes,12,98.0,bachelor s
214736,Chicago,IL,US,60649,Associate's,unknown,2010-05-01,4,14.0,Yes,Yes,15,-1.0,associate s
216357,Chicago,IL,US,60647,High School,not applicable,1986-06-01,4,20.0,Unknown,No,0,0.0,high school
219138,Plainfield,IL,US,60586,High School,not applicable,2010-01-01,3,5.0,Yes,Yes,4,0.0,high school
219656,Bolingbrook,IL,US,60440,Bachelor's,economics,2000-01-01,4,17.0,Yes,No,0,0.0,bachelor s
220497,Joliet,IL,US,60435,Unknown,unknown,2001-01-01,5,12.0,No,No,0,-1.0,unknown
221074,Palos Heights,IL,US,60463,Master's,homeland security,2013-10-01,5,12.0,Unknown,No,0,38.0,master s
221657,Elgin,IL,US,60123,Associate's,emergency medical,2000-08-01,3,14.0,Yes,Yes,20,30.0,associate s
222150,Skokie,IL,US,60077,Bachelor's,organizational management,1999-08-01,5,8.0,No,Yes,2,17.0,bachelor s
223140,Chicago,IL,US,60615,Associate's,business administration,2011-04-01,5,15.0,Yes,No,0,80.0,associate s
227501,Chicago,IL,US,60651,High School,advanced network design,2006-06-01,6,4.0,No,Yes,4,101.0,high school
228176,Dolton,IL,US,60419,Unknown,general studies,2000-01-01,2,9.0,No,No,0,117.0,unknown
228450,Wheeling,IL,US,60090,Bachelor's,accounting,2000-01-01,3,18.0,Unknown,No,0,44.0,bachelor s
233079,Lindenhurst,IL,US,60046,Associate's,information systems application specialist,2005-01-01,6,37.0,Yes,No,0,41.0,associate s
234383,Gurnee,IL,US,60031,High School,not applicable,1995-01-01,5,15.0,Yes,No,0,0.0,high school
235014,Chicago,IL,US,60609,Unknown,business administration,1998-01-01,5,23.0,Yes,No,0,80.0,unknown
235955,Belleville,IL,US,62220,Associate's,human services technology,2012-04-01,3,11.0,Yes,No,0,128.0,associate s
236065,Chicago,IL,US,60636,High School,not applicable,2005-06-01,2,3.0,No,Yes,5,0.0,high school
236721,Chicago,IL,US,60647,Master's,computational finance,2000-01-01,5,15.0,Yes,No,0,79.0,master s
237131,Oak Park,IL,US,60302,High School,child care and data processing,1992-06-01,1,1.0,Unknown,Yes,5,162.0,high school
238209,South Elgin,IL,US,60177,High School,not applicable,1994-05-01,5,14.0,No,No,0,0.0,high school
238825,Chicago,IL,US,60610,Bachelor's,management,2011-01-01,5,6.0,No,No,0,17.0,bachelor s
240458,Brookfield,IL,US,60513,High School,mathematics general,1971-01-01,7,39.0,No,Yes,30,35.0,high school
240944,Chicago,IL,US,60628,Unknown,unknown,2000-01-01,4,24.0,Yes,No,0,-1.0,unknown
243440,University Park,IL,US,60466,Master's,finance,2007-09-01,2,12.0,Unknown,No,0,79.0,master s
247595,Elgin,IL,US,60123,High School,not applicable,1983-01-01,5,11.0,No,No,0,0.0,high school
248639,Naperville,IL,US,60563,Bachelor's,accounting,1990-05-01,3,22.0,Yes,Yes,5,44.0,bachelor s
250074,Benld,IL,US,62009,Associate's,management,2012-01-01,4,7.0,No,No,0,17.0,associate s
250511,Matteson,IL,US,60443,High School,not applicable,2002-01-01,7,10.0,No,No,0,0.0,high school
252510,Chicago,IL,US,60637,Unknown,unknown,1987-01-01,4,9.0,No,No,0,-1.0,unknown
253605,Wauconda,IL,US,60084,Bachelor's,business administration,1995-01-01,7,22.0,Yes,Yes,6,80.0,bachelor s
257453,Plainfield,IL,US,60544,Bachelor's,science education,2001-05-01,4,13.0,Unknown,No,0,131.0,bachelor s
260132,McHenry,IL,US,60050,High School,unknown,2001-03-01,9,12.0,Yes,Yes,25,-1.0,high school
260666,Chicago,IL,US,60632,Associate's,psychology,2011-01-01,3,4.0,No,No,0,173.0,associate s
261265,Scott AFB,IL,US,62225,Unknown,unknown,1998-01-01,4,9.0,Unknown,No,0,-1.0,unknown
261589,Riverdale,IL,US,60827,Master's,clinical psychology,1995-06-01,8,14.0,No,Yes,9,99.0,master s
263366,Chicago,IL,US,60640,Bachelor's,communications,2006-06-01,6,11.0,Yes,Yes,5,124.0,bachelor s
263701,Chicago,IL,US,60636,Associate's,computer and information sciences general,2002-05-01,3,14.0,Yes,Yes,20,134.0,associate s
265758,Caseyville,IL,US,62232,Associate's,business management,2007-01-01,4,9.0,No,Yes,8,21.0,associate s
266866,Broadview,IL,US,60155,High School,not applicable,2000-01-01,3,16.0,Yes,No,0,0.0,high school
269054,Schaumburg,IL,US,60173,High School,not applicable,2002-01-01,4,9.0,No,No,0,0.0,high school
270130,Waukegan,IL,US,60085,Bachelor's,management,2008-11-01,2,3.0,Yes,Yes,1,17.0,bachelor s
270574,Homewood,IL,US,60430,Unknown,theatre,2000-01-01,6,22.0,Yes,Yes,150,0.0,unknown
270692,Mount Prospect,IL,US,60056,Bachelor's,economics,2010-06-01,3,3.0,Yes,No,0,0.0,bachelor s
271627,Granite City,IL,US,62040,High School,unknown,1992-05-01,2,8.0,Yes,Yes,12,0.0,high school
272317,Chicago,IL,US,60605,Unknown,business,1991-06-01,6,21.0,Yes,No,0,21.0,unknown
273832,Chicago,IL,US,60617,Bachelor's,chemistry,2002-01-01,5,14.0,Yes,No,0,0.0,bachelor s
274881,Chicago,IL,US,60637,Bachelor's,visual communications,2011-08-01,5,18.0,No,Yes,3,124.0,bachelor s
275410,Bolingbrook,IL,US,60490,Bachelor's,finance,2008-05-01,2,3.0,Unknown,No,0,79.0,bachelor s
